BEGIN,END,xmin,ymin,xmax,ymax,Ydiff,EPslewrmax,Epslewfmax,Epslewrmin,Spslewfmin,Spslewrmax,arrival min,skew,GBA,PBA
in_reg/QN,out_valid_reg/D,51.264,202.68,198.36,201.6,1.08,36.9,33.6,36.9,65.4,83.1,181,0,431.002,430.856
rst,S_reg_4__38_/D,102.528,398.88,189.936,369,29.88,60.2,56.7,60.2,4,4.5,126.6,-76.2,83.1,83.971
rst,S_reg_4__59_/D,102.528,398.88,181.728,311.76,87.12,53.4,50.2,53.4,4,4.5,134,-82,88.1,89.093
rst,S_reg_4__62_/D,102.528,398.88,187.992,308.52,90.36,51.5,48.4,51.5,4,4.5,140.9,-85.9,88.3,89.353
rst,S_reg_4__61_/D,102.528,398.88,181.512,308.52,90.36,51.6,48.5,51.6,4,4.5,145.1,-86.6,89.1,90.159
rst,S_reg_4__60_/D,102.528,398.88,185.4,312.84,86.04,50,47,50,4,4.5,145.6,-84.8,90.8,91.807
rst,S_reg_5__11_/D,102.528,398.88,181.728,306.36,92.52,47.3,44.5,47.3,4,4.5,145.7,-92,93.6,94.656
rst,S_reg_4__57_/D,102.528,398.88,188.208,310.68,88.2,47.1,44.4,47.1,4,4.5,149.7,-84.2,93.7,94.76
rst,Q_reg_15_/D,102.528,398.88,179.136,304.2,94.68,52.1,49,52.1,4,4.5,181,-70.512,94.3,95.11
rst,S_reg_4__63_/D,102.528,398.88,194.04,308.52,90.36,44.5,42.2,44.5,4,4.5,259.4,12.388,94.2,95.387
rst,S_reg_5__10_/D,102.528,398.88,187.992,307.44,91.44,45.8,43.3,45.8,4,4.5,260.3,12.488,94.6,95.581
rst,S_reg_4__56_/D,102.528,398.88,189.072,315,83.88,47.1,44.4,47.1,4,4.5,260.4,11.988,94.7,95.76
rst,S_reg_4__54_/D,102.528,398.88,187.776,318.24,80.64,48.1,45.3,48.1,4,4.5,260.4,12.088,95,95.982
rst,S_reg_5__9_/D,102.528,398.88,194.472,311.76,87.12,43.2,41.1,43.2,4,4.5,260.8,11.588,96.6,97.707
rst,S_reg_5__19_/D,102.528,398.88,197.496,294.48,104.4,45.8,43.3,45.8,4,4.5,259.5,10.988,97.5,98.538
rst,S_reg_4__50_/D,102.528,398.88,184.968,317.16,81.72,46.2,43.7,46.2,4,4.5,259.4,10.888,97.9,98.958
rst,S_reg_5__4_/D,102.528,398.88,191.448,292.32,106.56,46.3,43.7,46.3,4,4.5,259.7,10.988,98,99.021
rst,Q_reg_7_/D,102.528,398.88,181.512,352.8,46.08,48.6,45.4,48.6,4,4.5,259.2,12.588,98.3,99.19
rst,S_reg_5__16_/D,102.528,398.88,192.96,283.68,115.2,44.7,42.4,44.7,4,4.5,259.1,12.588,98.2,99.238
rst,S_reg_5__8_/D,102.528,398.88,187.344,305.28,93.6,47.4,44.7,47.4,4,4.5,259.2,12.688,98.3,99.436
rst,S_reg_4__48_/D,102.528,398.88,183.888,324.72,74.16,47.7,45,47.7,4,4.5,261.3,11.488,98.5,99.519
rst,S_reg_5__0_/D,102.528,398.88,187.56,302.04,96.84,47.1,44.4,47.1,4,4.5,261.8,12.288,98.5,99.563
rst,S_reg_5__5_/D,102.528,398.88,193.176,295.56,103.32,45,42.6,45,4,4.5,259.8,12.888,99.4,100.539
rst,S_reg_5__13_/D,102.528,398.88,198.792,295.56,103.32,43.9,41.6,43.9,4,4.5,259.2,12.388,99.6,100.611
rst,S_reg_4__46_/D,102.528,398.88,186.912,326.88,72,46.7,44.1,46.7,4,4.5,259.8,12.788,100,101.012
rst,S_reg_4__58_/D,102.528,398.88,192.528,313.92,84.96,41.4,39.6,41.4,4,4.5,260.7,10.588,99.9,101.088
rst,S_reg_0__60_/D,102.528,398.88,26.64,93.6,305.28,38.8,35.3,38.8,4,4.5,261.5,11.688,99.7,101.111
