Begin,END,xmin,ymin,xmax,ymax,Xdiff,Ydiff,EPslewrmax,Epslewfmax,Epslewrmin,Epslewfmin,Epcapfmax,Epcapfmin,Epcaprmax,Epcaprmin,Spslewfmax,Spslewfmin,Spslewrmin,Spslewrmax,arrival max,arrival min,skew,GBA,PBA
m_mFW_reg_16__143_/QN,m_mZ_reg_10__123_/D,75.672,1134.72,813.96,718.92,738.288,-415.8,29.2,31.1,12.4,12.2,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,20.919,38.4,1550.719,1492.019
m_mFW_reg_16__143_/QN,m_mZ_reg_16__123_/D,75.672,1134.72,745.056,653.04,669.384,-481.68,33.4,36.3,13.5,13.1,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,31.319,28,1555.519,1497.819
m_mFW_reg_12__465_/QN,m_mZ_reg_15__103_/D,445.896,1113.12,768.6,628.2,322.704,-484.92,34.6,36.3,10.2,10.2,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,38.719,30.3,1558.819,1482.219
m_mFW_reg_12__465_/QN,m_mZ_reg_9__103_/D,445.896,1113.12,835.992,738.36,390.096,-374.76,26.4,27.9,9.8,10,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,17.619,51.4,1533.619,1457.819
m_mFW_reg_16__143_/QN,m_mZ_reg_4__123_/D,75.672,1134.72,813.096,666,737.424,-468.72,29.5,31.8,13.3,13,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,33.919,25.4,1551.819,1493.619
m_mFW_reg_12__465_/QN,m_mZ_reg_15__104_/D,445.896,1113.12,776.376,616.32,330.48,-496.8,36.2,37.6,10.3,10.7,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,45.719,23.3,1561.619,1491.419
m_mFW_reg_12__465_/QN,m_mZ_reg_12__103_/D,445.896,1113.12,843.984,807.48,398.088,-305.64,25.5,27,10.4,10.7,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,12.519,56.5,1525.019,1449.119
m_mFW_reg_16__143_/QN,m_mZ_reg_1__123_/D,75.672,1134.72,808.344,659.52,732.672,-475.2,28.4,30.6,11.6,11.3,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,36.619,22.7,1551.519,1493.519
m_mFW_reg_5__180_/QN,m_mZ_reg_14__38_/D,120.816,353.88,843.768,793.44,722.952,439.56,24.6,26.2,9.6,9.9,0.429,0.381,0.429,0.383,24.3,22.2,23.6,26.2,49.519,12.819,36.7,1523.519,1455.019
m_mFW_reg_16__143_/QN,m_mZ_reg_13__124_/D,75.672,1134.72,821.52,780.48,745.848,-354.24,31.3,34.5,11.5,11.6,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,11.519,47.8,1527.818,1471.919
m_mFW_reg_3__680_/QN,m_mZ_reg_12__37_/D,153.216,644.4,837.504,802.08,684.288,157.68,24.9,26.4,10.4,10.5,0.429,0.381,0.429,0.383,27.2,25.5,27.7,29.9,51.819,12.319,39.5,1522.219,1480.019
m_mFW_reg_16__143_/QN,m_mZ_reg_13__123_/D,75.672,1134.72,813.096,780.48,737.424,-354.24,31.7,34.8,12.4,11.9,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,31.519,27.8,1575.1,1484.719
m_mFW_reg_12__465_/QN,m_mZ_reg_3__104_/D,445.896,1113.12,837.072,680.04,391.176,-433.08,39.3,39.8,10.4,10.9,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,41.719,27.3,1542.619,1480.119
m_mFW_reg_16__143_/QN,m_mZ_reg_10__126_/D,75.672,1134.72,838.584,718.92,762.912,-415.8,29.2,31.4,10.1,10.5,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,17.919,41.4,1551.019,1463.119
m_mFW_reg_13__351_/QN,m_mZ_reg_13__104_/D,483.696,1132.56,838.584,770.76,354.888,-361.8,33.9,37.1,9.8,10.1,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,15.019,50.8,1524.819,1469.419
m_mFW_reg_16__143_/QN,m_mZ_reg_7__123_/D,75.672,1134.72,806.616,842.04,730.944,-292.68,32,34.5,12.8,12.5,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,24.919,34.4,1520.419,1475.819
m_mFW_reg_16__165_/QN,m_mZ_reg_10__124_/D,47.808,1109.88,814.824,721.08,767.016,-388.8,30.1,31.8,12.6,12.7,0.429,0.381,0.429,0.383,71,69.1,84.4,86.9,58.219,21.019,37.2,1533.818,1465.619
m_mFW_reg_12__465_/QN,m_mZ_reg_0__104_/D,445.896,1113.12,838.584,636.84,392.688,-476.28,33.2,36.1,10.4,10.9,0.429,0.381,0.429,0.383,28.8,26.8,29.3,31.8,69.019,46.619,22.4,1527.419,1484.419
m_mFW_reg_13__351_/QN,m_mZ_reg_10__104_/D,483.696,1132.56,844.2,726.48,360.504,-406.08,28.5,29.7,11.3,11.7,0.429,0.381,0.429,0.383,25.5,23.6,25.4,27.7,65.819,16.019,49.8,1554.619,1470.819
m_mFW_reg_16__143_/QN,m_mZ_reg_10__125_/D,75.672,1134.72,830.376,720,754.704,-414.72,26.7,28.9,9,9.4,0.429,0.381,0.429,0.383,59.5,57.5,69.1,71.7,59.319,18.719,40.6,1519.818,1465.119
